$NML Br1 inflow Tw year 2006 YC 03/22/2023,
",,,",
Jday,Tw
115.125,7.15208992
115.1666667,7.084428302
115.2083333,7.097261043
115.25,7.06132921
115.2916667,7.025034428
115.3333333,6.969487654
115.375,7.025156844
115.4166667,7.088575606
115.4583333,7.17442542
115.5,7.278243909
115.5416667,7.323457426
115.5833333,7.453949822
115.625,7.606249994
115.6666667,7.758453061
115.7083333,7.879054276
115.75,7.915114042
115.7916667,7.97640273
115.8333333,8.018172901
115.875,7.982741925
115.9166667,8.018644486
115.9583333,7.951621637
116,7.890140857
116.0416667,7.782013394
116.0833333,7.659191914
116.125,7.596060399
116.1666667,7.491466529
116.2083333,7.475722918
116.25,7.388089391
116.2916667,7.32275925
116.3333333,7.215044771
116.375,7.282887395
116.4166667,7.271222383
116.4583333,7.42771641
116.5,7.612713132
116.5416667,7.879592569
116.5833333,7.988154813
116.625,8.206292226
116.6666667,8.368348362
116.7083333,8.438246697
116.75,8.458089871
116.7916667,8.45757676
116.8333333,8.469718934
116.875,8.478601274
116.9166667,8.394554341
116.9583333,8.297385034
117,8.512385117
117.0416667,8.282482087
117.0833333,8.310078981
117.125,8.177657643
117.1666667,8.102018311
117.2083333,7.924058859
117.25,7.795009361
117.2916667,7.676486489
117.3333333,7.650113355
117.375,7.581267037
117.4166667,7.680185495
117.4583333,7.813163695
117.5,8.124732048
117.5416667,8.412744158
117.5833333,8.69204118
117.625,9.128447473
117.6666667,9.384923596
117.7083333,9.546258675
117.75,9.627963657
117.7916667,9.569161898
117.8333333,9.517592586
117.875,9.417542889
117.9166667,9.373499641
117.9583333,9.218962359
118,9.314281958
118.0416667,8.922360466
118.0833333,8.847495717
118.125,8.592193616
118.1666667,8.41087936
118.2083333,8.269649874
118.25,8.090994192
118.2916667,7.928646855
118.3333333,7.819452562
118.375,7.691475729
118.4166667,7.765824511
118.4583333,7.955782946
118.5,8.398256156
118.5416667,8.653719403
118.5833333,9.025076412
118.625,9.387525167
118.6666667,9.714501416
118.7083333,9.948004378
118.75,10.07876987
118.7916667,10.10121261
118.8333333,10.17026294
118.875,10.00688076
118.9166667,9.695562267
118.9583333,9.228454745
119,9.064887651
119.0416667,8.664606316
119.0833333,8.631025736
119.125,8.442840175
119.1666667,8.356781506
119.2083333,8.208750511
119.25,8.127378113
119.2916667,8.001639658
119.3333333,7.936538812
119.375,7.925436921
119.4166667,7.967494456
119.4583333,8.117085319
119.5,8.453079413
119.5416667,8.775416682
119.5833333,9.225071647
119.625,9.580089701
119.6666667,9.943434425
119.7083333,10.17524824
119.75,10.32811052
119.7916667,10.31798527
119.8333333,10.27508209
119.875,10.12237244
119.9166667,9.854168782
119.9583333,9.485889388
120,9.009451555
120.0416667,8.725880121
120.0833333,8.639620082
120.125,8.537420626
120.1666667,8.387808968
120.2083333,8.225977749
120.25,8.151962082
120.2916667,8.054199366
120.3333333,7.945759009
120.375,7.914072585
120.4166667,7.991944866
120.4583333,8.163919426
120.5,8.480952189
120.5416667,8.895266219
120.5833333,9.264122754
120.625,9.661374918
120.6666667,9.990005149
120.7083333,10.22210773
120.75,10.53010416
120.7916667,10.39245298
120.8333333,10.38513936
120.875,10.258504
120.9166667,9.957520549
120.9583333,9.58695459
121,9.159998134
121.0416667,8.848062746
121.0833333,8.651736889
121.125,8.546997553
121.1666667,8.402944782
121.2083333,8.122795891
121.25,8.342282991
121.2916667,8.270680952
121.3333333,8.242049365
121.375,8.182751066
121.4166667,8.25390503
121.4583333,8.368397958
121.5,8.665579654
121.5416667,9.03198393
121.5833333,9.420261501
121.625,9.798557064
121.6666667,10.10595646
121.7083333,10.24661164
121.75,10.52508304
121.7916667,10.32869262
121.8333333,10.26644977
121.875,10.16287913
121.9166667,9.920745283
121.9583333,9.580979093
122,9.066157156
122.0416667,8.817296842
122.0833333,8.615761639
122.125,8.458928893
122.1666667,8.358042028
122.2083333,8.089597187
122.25,8.201204218
122.2916667,8.202074767
122.3333333,8.182602601
122.375,8.185710065
122.4166667,8.233560813
122.4583333,8.462723248
122.5,8.729091566
122.5416667,9.16511736
122.5833333,9.53951029
122.625,9.799399131
122.6666667,10.13541712
122.7083333,10.26579791
122.75,10.45361617
122.7916667,10.31134029
122.8333333,10.22140571
122.875,10.06092442
122.9166667,9.934285342
122.9583333,9.721426475
123,9.354046464
123.0416667,9.017406027
123.0833333,8.733844769
123.125,8.486686018
123.1666667,8.35688979
123.2083333,8.109481194
123.25,8.223594789
123.2916667,8.219951396
123.3333333,8.203740571
123.375,8.295628155
123.4166667,8.368243776
123.4583333,8.581977156
123.5,8.841250134
123.5416667,9.154381883
123.5833333,9.448366075
123.625,9.731487411
123.6666667,9.980331964
123.7083333,10.1428244
123.75,10.34484098
123.7916667,10.18092118
123.8333333,10.1014104
123.875,10.09332481
123.9166667,9.974595365
123.9583333,9.754737166
124,9.297061472
124.0416667,9.061934601
124.0833333,8.83427964
124.125,8.713592984
124.1666667,8.624537122
124.2083333,8.526600907
124.25,8.508916547
124.2916667,8.474957177
124.3333333,8.437085658
124.375,8.471368874
124.4166667,8.429481954
124.4583333,8.532956486
124.5,8.657591803
124.5416667,8.86592751
124.5833333,9.107723114
124.625,9.267786926
124.6666667,9.516594372
124.7083333,9.779500187
124.75,9.866197344
124.7916667,9.86176324
124.8333333,9.84520253
124.875,9.76216127
124.9166667,9.573841392
124.9583333,9.43870076
125,9.121801308
125.0416667,8.815116306
125.0833333,8.714123703
125.125,8.548910619
125.1666667,8.381727342
125.2083333,8.385634977
125.25,8.600700323
125.2916667,8.546137206
125.3333333,8.611154407
125.375,8.517269395
125.4166667,8.474359314
125.4583333,8.460633773
125.5,8.604676075
125.5416667,8.825801353
125.5833333,9.027570369
125.625,9.284101052
125.6666667,9.663408148
125.7083333,9.898935405
125.75,9.991055302
125.7916667,10.06382288
125.8333333,10.06637423
125.875,10.00866122
125.9166667,9.828206138
125.9583333,9.66127746
126,9.526958246
126.0416667,9.283964794
126.0833333,9.116783319
126.125,9.053104079
126.1666667,8.856519219
126.2083333,8.683930319
126.25,8.588603975
126.2916667,8.542299641
126.3333333,8.775127034
126.375,8.475267391
126.4166667,8.56310094
126.4583333,8.74067179
126.5,8.850699077
126.5416667,8.963372437
126.5833333,9.285931949
126.625,9.761006072
126.6666667,9.99479993
126.7083333,10.15478552
126.75,10.2423929
126.7916667,10.21800947
126.8333333,10.17153363
126.875,10.1722908
126.9166667,9.982438766
126.9583333,9.846091782
127,9.621729642
127.0416667,9.410061763
127.0833333,9.19843911
127.125,8.993699229
127.1666667,8.912648525
127.2083333,8.777738831
127.25,8.623954306
127.2916667,8.578095539
127.3333333,8.617526823
127.375,8.560191829
127.4166667,8.580748034
127.4583333,8.706750512
127.5,8.995612205
127.5416667,9.279891582
127.5833333,9.57058288
127.625,9.815016078
127.6666667,10.06327119
127.7083333,10.31186402
127.75,10.39634804
127.7916667,10.44749723
127.8333333,10.48248139
127.875,10.4583335
127.9166667,10.38157302
127.9583333,10.20071919
128,10.17821281
128.0416667,9.938183458
128.0833333,9.707383692
128.125,9.591791988
128.1666667,9.274982007
128.2083333,9.235994577
128.25,9.152117931
128.2916667,9.060261481
128.3333333,9.108408538
128.375,9.117772776
128.4166667,9.186347373
128.4583333,9.403559661
128.5,9.676880126
128.5416667,10.03225103
128.5833333,10.28649102
128.625,10.77933432
128.6666667,10.84466362
128.7083333,11.08222697
128.75,11.11380126
128.7916667,11.05630431
128.8333333,10.90394256
128.875,10.66425312
128.9166667,10.30392892
128.9583333,9.91171672
129,9.876625009
129.0416667,9.531860396
129.0833333,9.342891861
129.125,9.213902525
129.1666667,9.069473166
129.2083333,9.277806198
129.25,9.515837831
129.2916667,9.643583369
129.3333333,9.611569845
129.375,9.592951158
129.4166667,9.648155217
129.4583333,9.8779063
129.5,10.1778711
129.5416667,10.43307131
129.5833333,10.59538301
129.625,10.97817736
129.6666667,11.07415705
129.7083333,11.13176018
129.75,10.981765
129.7916667,10.81268793
129.8333333,10.54311361
129.875,10.04876963
129.9166667,9.708222919
129.9583333,9.491696616
130,9.284098928
130.0416667,9.119092335
130.0833333,9.047334178
130.125,9.014976458
130.1666667,9.109275049
130.2083333,9.608942304
130.25,9.972436115
130.2916667,10.05161809
130.3333333,9.999164842
130.375,9.945993061
130.4166667,9.967911799
130.4583333,10.12055115
130.5,10.3659415
130.5416667,10.63423751
130.5833333,10.86138052
130.625,11.24425686
130.6666667,11.23335323
130.7083333,11.2362572
130.75,11.30521026
130.7916667,11.07682323
130.8333333,10.79095912
130.875,10.35419425
130.9166667,10.06525368
130.9583333,9.810167748
131,9.681306091
131.0416667,9.57740102
131.0833333,9.512251786
131.125,9.50313452
131.1666667,9.476344895
131.2083333,10.01263006
131.25,10.30360332
131.2916667,10.49492517
131.3333333,10.51366195
131.375,10.41678109
131.4166667,10.3873008
131.4583333,10.49243337
131.5,10.64345395
131.5416667,10.82923306
131.5833333,11.01801823
131.625,11.25577832
131.6666667,11.4069324
131.7083333,11.45473063
131.75,11.41772673
131.7916667,11.25212052
131.8333333,11.00777229
131.875,10.68569404
131.9166667,10.41017414
131.9583333,10.13472432
132,10.09766795
132.0416667,10.02380061
132.0833333,9.934880685
132.125,9.886204721
132.1666667,9.992167625
132.2083333,10.1993007
132.25,10.42053504
132.2916667,10.55385782
132.3333333,10.45056367
132.375,10.59408169
132.4166667,10.59239065
132.4583333,10.63982544
132.5,10.75238311
132.5416667,10.84913509
132.5833333,11.01852481
132.625,11.16291175
132.6666667,11.23823438
132.7083333,11.30168911
132.75,11.28801189
132.7916667,11.20283515
132.8333333,11.05165298
132.875,10.95767201
132.9166667,10.622558
132.9583333,10.36450082
133,10.09301232
133.0416667,9.991422922
133.0833333,9.841346664
133.125,9.763516203
133.1666667,9.697769313
133.2083333,9.736650424
133.25,9.856978355
133.2916667,9.983497755
133.3333333,9.925999732
133.375,10.00158003
133.4166667,9.94357128
133.4583333,9.942872342
133.5,10.00514652
133.5416667,10.20321278
133.5833333,10.40290401
133.625,10.61062507
133.6666667,10.85160908
133.7083333,11.06773734
133.75,11.17520794
133.7916667,11.17418539
133.8333333,11.08895677
133.875,10.88633822
133.9166667,10.65587595
133.9583333,10.37165081
134,10.13362786
134.0416667,9.860202937
134.0833333,9.727773473
134.125,9.663979399
134.1666667,9.594419653
134.2083333,9.64581041
134.25,9.871391518
134.2916667,10.0979941
134.3333333,10.0567606
134.375,10.19466123
134.4166667,10.22014042
134.4583333,10.25219884
134.5,10.35051122
134.5416667,10.45606711
134.5833333,10.58533391
134.625,10.74630194
134.6666667,10.88833558
134.7083333,10.99625213
134.75,11.07737763
134.7916667,11.08382016
134.8333333,10.98289449
134.875,10.79637317
134.9166667,10.51021887
134.9583333,10.288846
135,10.09916915
135.0416667,9.944593981
135.0833333,9.80923546
135.125,9.782667038
135.1666667,9.993532489
135.2083333,10.12286818
135.25,10.31913786
135.2916667,10.48848965
135.3333333,10.49771251
135.375,10.48846324
135.4166667,10.39914618
135.4583333,10.34112699
135.5,10.31820569
135.5416667,10.31791433
135.5833333,10.42168371
135.625,10.44256116
135.6666667,10.57577222
135.7083333,10.72472661
135.75,10.91362173
135.7916667,11.01355761
135.8333333,11.00206608
135.875,10.92860155
135.9166667,10.76124205
135.9583333,10.56122483
136,10.34343518
136.0416667,10.18720298
136.0833333,10.12894512
136.125,10.08923189
136.1666667,10.09325726
136.2083333,10.08655797
136.25,10.16872655
136.2916667,10.3193939
136.3333333,10.5421391
136.375,10.67020401
136.4166667,10.78100124
136.4583333,10.83458235
136.5,10.93319403
136.5416667,11.01056134
136.5833333,11.18428185
136.625,11.26401325
136.6666667,11.42815538
136.7083333,11.52907795
136.75,11.47355291
136.7916667,11.2849979
136.8333333,11.02543283
136.875,10.64127235
136.9166667,10.35334113
136.9583333,10.16320476
137,10.20787127
137.0416667,10.38145239
137.0833333,10.53070254
137.125,10.81666006
137.1666667,11.00750891
137.2083333,11.05972404
137.25,11.01970459
137.2916667,10.86078021
137.3333333,10.65393772
137.375,10.51173372
137.4166667,10.4536103
137.4583333,10.484485
137.5,10.59837697
137.5416667,10.7389028
137.5833333,11.00367155
137.625,11.2185565
137.6666667,11.41597535
137.7083333,11.74982147
137.75,11.81981835
137.7916667,11.4276259
137.8333333,10.90138344
137.875,10.59081496
137.9166667,10.41415703
137.9583333,10.30115561
138,10.49830679
138.0416667,10.8277129
138.0833333,11.12698866
138.125,11.21451262
138.1666667,11.23301992
138.2083333,11.17290891
138.25,11.0882391
138.2916667,10.93717478
138.3333333,10.69708738
138.375,10.48946064
138.4166667,10.38992431
138.4583333,10.42831691
138.5,10.6259563
138.5416667,10.9557889
138.5833333,11.29511099
138.625,11.54476881
138.6666667,11.73331004
138.7083333,11.78028602
138.75,11.71228355
138.7916667,11.47452104
138.8333333,11.12069897
138.875,10.75312859
138.9166667,10.39937382
138.9583333,10.29418581
139,10.15614722
139.0416667,10.10705695
139.0833333,10.04979834
139.125,9.993282412
139.1666667,9.952651521
139.2083333,9.971775607
139.25,10.0633166
139.2916667,10.12798309
139.3333333,10.36789542
139.375,10.47331758
139.4166667,10.58930061
139.4583333,10.67469004
139.5,10.72798551
139.5416667,10.79792463
139.5833333,10.85352062
139.625,10.87850123
139.6666667,10.76989314
139.7083333,10.62320949
139.75,10.4880599
139.7916667,10.23600837
139.8333333,10.08655082
139.875,9.934827275
139.9166667,9.846302638
139.9583333,9.745843339
140,9.621780599
140.0416667,9.548178657
140.0833333,9.494205816
140.125,9.478825506
140.1666667,9.495783805
140.2083333,9.488816102
140.25,9.525355391
140.2916667,9.592529262
140.3333333,9.65505457
140.375,9.65709399
140.4166667,9.70549416
140.4583333,9.870069663
140.5,10.16339251
140.5416667,10.46096679
140.5833333,10.65656132
140.625,10.78461881
140.6666667,10.82035759
140.7083333,10.78461881
140.75,10.6920175
140.7916667,10.46109211
140.8333333,10.24811819
140.875,10.0828632
140.9166667,9.850925853
140.9583333,9.690466055
141,9.567394382
141.0416667,9.479409996
141.0833333,9.427191621
141.125,9.430449191
141.1666667,9.465499881
141.2083333,9.603078136
141.25,9.883483658
141.2916667,10.10412884
141.3333333,10.21276773
141.375,10.24447859
