$Tulloch Br1 inflow Tw year 2005 YC 04/11/2023,
",,,",
Jday,Inflow Tw
27.95833333,10.17
28,10.01
28.04166667,10.01
28.08333333,10.01
28.125,10.01
28.16666667,10.01
28.20833333,10.01
28.25,10.01
28.29166667,10.01
28.33333333,10.01
28.375,10.01
28.41666667,10.01
28.45833333,10.17
28.5,10.33
28.54166667,10.48
28.58333333,10.64
28.625,10.64
28.66666667,10.33
28.70833333,10.33
28.75,10.01
28.79166667,10.01
28.83333333,10.01
28.875,9.86
28.91666667,9.86
28.95833333,9.86
29,9.86
29.04166667,9.86
29.08333333,9.86
29.125,9.86
29.16666667,9.86
29.20833333,9.86
29.25,9.86
29.29166667,9.86
29.33333333,9.7
29.375,9.7
29.41666667,9.86
29.45833333,9.86
29.5,10.01
29.54166667,10.33
29.58333333,10.64
29.625,10.95
29.66666667,10.79
29.70833333,10.95
29.75,10.64
29.79166667,10.64
29.83333333,10.48
29.875,10.33
29.91666667,10.17
29.95833333,10.01
30,10.01
30.04166667,9.86
30.08333333,9.86
30.125,9.86
30.16666667,9.86
30.20833333,9.54
30.25,9.7
30.29166667,9.7
30.33333333,9.7
30.375,9.54
30.41666667,9.54
30.45833333,9.7
30.5,9.7
30.54166667,10.01
30.58333333,10.33
30.625,10.48
30.66666667,10.48
30.70833333,10.48
30.75,10.48
30.79166667,10.33
30.83333333,10.33
30.875,10.17
30.91666667,10.17
30.95833333,10.17
31,10.01
31.04166667,9.86
31.08333333,9.7
31.125,9.7
31.16666667,9.7
31.20833333,9.54
31.25,9.54
31.29166667,9.54
31.33333333,9.39
31.375,9.39
31.41666667,9.39
31.45833333,9.39
31.5,9.54
31.54166667,9.86
31.58333333,10.17
31.625,10.33
31.66666667,10.33
31.70833333,10.33
31.75,10.33
31.79166667,10.33
31.83333333,10.17
31.875,10.01
31.91666667,10.01
31.95833333,9.86
32,9.86
32.04166667,9.7
32.08333333,9.54
32.125,9.54
32.16666667,9.54
32.20833333,9.39
32.25,9.54
32.29166667,9.54
32.33333333,9.54
32.375,9.54
32.41666667,9.54
32.45833333,9.54
32.5,9.7
32.54166667,10.17
32.58333333,10.33
32.625,10.48
32.66666667,10.48
32.70833333,10.48
32.75,10.64
32.79166667,10.48
32.83333333,10.33
32.875,10.33
32.91666667,10.17
32.95833333,10.01
33,9.86
33.04166667,9.7
33.08333333,9.7
33.125,9.54
33.16666667,9.54
33.20833333,9.54
33.25,9.39
33.29166667,9.39
33.33333333,9.39
33.375,9.39
33.41666667,9.39
33.45833333,9.39
33.5,9.54
33.54166667,9.86
33.58333333,10.33
33.625,10.33
33.66666667,10.33
33.70833333,10.48
33.75,10.48
33.79166667,10.33
33.83333333,10.33
33.875,10.33
33.91666667,10.17
33.95833333,10.01
34,9.86
34.04166667,9.7
34.08333333,9.54
34.125,9.39
