$used Ripon Tw  for Tulloch qdt Tw year 2006  YC 04/10/2023,
",,,",
Jday,Inflow Tw
280.5833333,16.44444444
280.625,16.72222222
280.6666667,17
280.7083333,17
280.75,17
280.7916667,16.83333333
280.8333333,16.72222222
280.875,16.88888889
280.9166667,16.5
280.9583333,16.77777778
281,16.33333333
281.0416667,16.61111111
281.0833333,16.38888889
281.125,16.33333333
281.1666667,16.05555556
281.2083333,15.87037037
281.25,15.68518519
281.2916667,15.5
281.3333333,15.61111111
281.375,15.33333333
281.4166667,15.38888889
281.4583333,15.5
281.5,15.77777778
281.5416667,16.11111111
281.5833333,16.61111111
281.625,16.72222222
281.6666667,16.83333333
281.7083333,16.83333333
281.75,16.77777778
281.7916667,16.66666667
281.8333333,16.55555556
281.875,16.38888889
281.9166667,16.27777778
281.9583333,16.11111111
282,16
282.0416667,15.94444444
282.0833333,15.94444444
282.125,15.88888889
282.1666667,15.72222222
282.2083333,15.55555556
282.25,15.44444444
282.2916667,15.33333333
282.3333333,15.22222222
282.375,15.22222222
282.4166667,15.27777778
282.4583333,15.44444444
282.5,16.11111111
282.5416667,16.16666667
282.5833333,16.72222222
282.625,16.61111111
282.6666667,17
282.7083333,16.83333333
282.75,17.05555556
282.7916667,16.66666667
282.8333333,16.88888889
282.875,16.38888889
282.9166667,16.27777778
282.9583333,16.38888889
283,16.44444444
283.0416667,16.38888889
283.0833333,16.38888889
283.125,16.27777778
283.1666667,16.16666667
283.2083333,15.94444444
283.25,15.77777778
283.2916667,15.5
283.3333333,15.27777778
283.375,15.22222222
283.4166667,15.16666667
283.4583333,15.33333333
283.5,15.61111111
283.5416667,16
283.5833333,16.27777778
283.625,16.5
283.6666667,16.66666667
283.7083333,16.66666667
283.75,16.61111111
283.7916667,16.5
283.8333333,16.38888889
283.875,16.22222222
283.9166667,16.05555556
283.9583333,15.94444444
284,15.88888889
284.0416667,16.22222222
284.0833333,15.77777778
284.125,16.11111111
284.1666667,15.66666667
284.2083333,15.83333333
284.25,15.27777778
284.2916667,15.22222222
284.3333333,14.88888889
284.375,14.77777778
284.4166667,14.94444444
284.4583333,15.11111111
284.5,15.38888889
284.5416667,15.77777778
284.5833333,16.11111111
284.625,16.44444444
284.6666667,16.61111111
284.7083333,16.66666667
284.75,16.61111111
284.7916667,16.5
284.8333333,16.38888889
284.875,16.27777778
284.9166667,16.11111111
284.9583333,16
285,15.94444444
285.0416667,15.88888889
285.0833333,15.83333333
285.125,15.77777778
285.1666667,15.72222222
285.2083333,15.55555556
285.25,15.38888889
285.2916667,15.22222222
285.3333333,15.33333333
285.375,15.11111111
285.4166667,15.11111111
285.4583333,15.33333333
285.5,15.66666667
285.5416667,16.11111111
285.5833333,16.38888889
285.625,16.77777778
285.6666667,16.88888889
285.7083333,17
285.75,16.88888889
285.7916667,16.88888889
285.8333333,16.72222222
285.875,16.72222222
285.9166667,16.44444444
285.9583333,16.33333333
286,16.22222222
286.0416667,16.22222222
286.0833333,16.27777778
286.125,16.27777778
286.1666667,16.11111111
286.2083333,15.94444444
286.25,15.72222222
286.2916667,15.55555556
286.3333333,15.38888889
286.375,15.5
286.4166667,15.44444444
286.4583333,15.66666667
286.5,16
286.5416667,16.33333333
286.5833333,16.72222222
286.625,17
286.6666667,17.11111111
286.7083333,17.16666667
286.75,17.11111111
286.7916667,17
286.8333333,16.88888889
286.875,16.77777778
286.9166667,16.66666667
286.9583333,16.77777778
287,16.5
287.0416667,16.55555556
