$Tulloch Br1 inflow year 2005 YC 04/11/2023,
",,,",
Jday,Inflow
100.3333333,0.962763698
100.375,0.962763698
100.4166667,0.962763698
100.4583333,0.962763698
100.5,0.962763698
100.5416667,0.962763698
100.5833333,0.962763698
100.625,0.962763698
100.6666667,0.962763698
100.7083333,0.962763698
100.75,8.410024069
100.7916667,89.56534051
100.8333333,111.4823729
100.875,111.9071216
100.9166667,92.48194818
100.9583333,8.013591958
101,0.849497381
101.0416667,0.849497381
101.0833333,0.849497381
101.125,0.849497381
101.1666667,0.849497381
101.2083333,0.849497381
101.25,0.849497381
101.2916667,0.849497381
101.3333333,0.849497381
101.375,0.849497381
101.4166667,0.849497381
101.4583333,0.849497381
101.5,0.849497381
101.5416667,0.849497381
101.5833333,6.144697721
101.625,24.21067535
101.6666667,44.93841144
101.7083333,50.00707914
101.75,102.4777007
101.7916667,104.7713436
101.8333333,95.37023928
101.875,107.7445845
101.9166667,96.38963613
101.9583333,8.041908537
102,1.019396857
102.0416667,1.019396857
102.0833333,1.019396857
102.125,1.019396857
102.1666667,1.019396857
102.2083333,1.019396857
102.25,1.019396857
102.2916667,1.019396857
102.3333333,1.019396857
102.375,8.126858276
102.4166667,92.02888291
102.4583333,96.47458587
102.5,51.33795837
102.5416667,48.93104913
102.5833333,48.13818491
102.625,47.85501911
102.6666667,47.7417528
102.7083333,47.7417528
102.75,47.7417528
102.7916667,46.7789891
102.8333333,4.502336118
102.875,0.764547643
102.9166667,0.764547643
102.9583333,0.764547643
103,0.764547643
103.0416667,0.764547643
103.0833333,0.764547643
103.125,0.764547643
103.1666667,0.764547643
103.2083333,0.764547643
103.25,0.764547643
103.2916667,0.764547643
103.3333333,0.764547643
103.375,0.764547643
103.4166667,0.764547643
103.4583333,0.764547643
103.5,0.764547643
103.5416667,0.764547643
103.5833333,0.764547643
103.625,0.764547643
103.6666667,0.764547643
103.7083333,0.764547643
103.75,0.764547643
103.7916667,0.764547643
103.8333333,0.764547643
103.875,0.764547643
103.9166667,0.764547643
103.9583333,0.764547643
104,0.764547643
104.0416667,0.764547643
104.0833333,0.764547643
104.125,0.764547643
104.1666667,0.792864222
104.2083333,0.764547643
104.25,0.764547643
104.2916667,0.792864222
104.3333333,0.764547643
104.375,0.792864222
104.4166667,0.764547643
104.4583333,0.792864222
104.5,6.003114824
104.5416667,44.79682854
104.5833333,46.66572278
104.625,46.52413988
104.6666667,47.34532069
104.7083333,47.14710463
104.75,47.54353674
104.7916667,47.31700411
104.8333333,50.09202888
104.875,104.7147105
104.9166667,107.9711171
104.9583333,94.0959932
105,49.41243098
105.0416667,5.436783237
105.0833333,0.934447119
105.125,0.934447119
105.1666667,0.934447119
105.2083333,0.934447119
105.25,0.934447119
105.2916667,0.934447119
105.3333333,0.934447119
105.375,0.934447119
105.4166667,0.934447119
105.4583333,0.934447119
105.5,0.934447119
105.5416667,0.934447119
105.5833333,0.934447119
105.625,0.934447119
105.6666667,8.155174855
105.7083333,98.88149512
105.75,103.6103639
105.7916667,102.8741328
105.8333333,103.8368965
105.875,99.95752513
105.9166667,8.35339091
105.9583333,0.792864222
106,0.792864222
106.0416667,0.792864222
106.0833333,0.792864222
106.125,0.792864222
106.1666667,0.792864222
106.2083333,0.792864222
106.25,0.792864222
106.2916667,0.792864222
106.3333333,0.792864222
106.375,0.792864222
106.4166667,0.792864222
106.4583333,0.792864222
106.5,0.792864222
106.5416667,0.792864222
106.5833333,0.792864222
106.625,0.792864222
106.6666667,0.792864222
106.7083333,7.92864222
106.75,98.14526405
106.7916667,102.6759167
106.8333333,103.9784794
106.875,103.6103639
106.9166667,100.1557412
106.9583333,7.985275379
107,0.679597905
107.0416667,0.679597905
107.0833333,0.679597905
107.125,0.679597905
107.1666667,0.679597905
107.2083333,0.679597905
107.25,0.679597905
107.2916667,0.679597905
107.3333333,0.679597905
107.375,0.679597905
107.4166667,0.679597905
107.4583333,0.679597905
107.5,0.679597905
107.5416667,0.679597905
107.5833333,0.679597905
107.625,0.679597905
107.6666667,0.679597905
107.7083333,0.679597905
107.75,0.679597905
107.7916667,0.679597905
107.8333333,0.679597905
107.875,0.679597905
107.9166667,0.679597905
107.9583333,0.679597905
108,0.679597905
108.0416667,0.679597905
108.0833333,0.679597905
108.125,0.679597905
108.1666667,0.679597905
108.2083333,0.679597905
108.25,0.679597905
108.2916667,0.679597905
108.3333333,0.679597905
108.375,0.679597905
108.4166667,0.679597905
108.4583333,0.679597905
108.5,0.679597905
108.5416667,7.305677474
108.5833333,87.97961206
108.625,93.4163953
108.6666667,93.35976214
108.7083333,93.30312898
108.75,93.24649582
108.7916667,93.2748124
108.8333333,93.4163953
108.875,93.04827977
108.9166667,90.07503894
108.9583333,7.305677474
109,0.736231063
109.0416667,0.736231063
109.0833333,0.736231063
109.125,0.736231063
109.1666667,0.736231063
109.2083333,0.736231063
109.25,0.736231063
109.2916667,0.736231063
109.3333333,0.736231063
109.375,0.736231063
109.4166667,9.627636981
109.4583333,88.43267733
109.5,93.38807872
109.5416667,94.88885743
109.5833333,95.39855585
109.625,95.73835481
109.6666667,96.67280193
109.7083333,96.27636981
109.75,96.1631035
109.7916667,96.30468639
109.8333333,96.55953561
109.875,96.47458587
109.9166667,96.10647034
109.9583333,96.50290245
110,105.0261928
110.0416667,5.040351126
110.0833333,0.651281325
110.125,0.651281325
110.1666667,0.651281325
110.2083333,0.651281325
110.25,0.651281325
110.2916667,0.651281325
110.3333333,0.651281325
110.375,0.651281325
110.4166667,0.651281325
110.4583333,0.651281325
110.5,0.651281325
110.5416667,0.651281325
110.5833333,0.651281325
110.625,0.651281325
110.6666667,7.220727736
110.7083333,101.3167209
110.75,101.9396857
110.7916667,101.7981028
110.8333333,102.1662183
110.875,101.9396857
110.9166667,101.6565199
110.9583333,104.1766955
111,36.92481948
111.0416667,1.444145547
111.0833333,0.764547643
111.125,0.764547643
111.1666667,0.764547643
111.2083333,0.764547643
111.25,0.764547643
111.2916667,0.764547643
111.3333333,7.249044315
111.375,46.09939119
111.4166667,48.19481807
111.4583333,47.93996885
111.5,48.05323517
111.5416667,48.05323517
111.5833333,47.91165227
111.625,48.19481807
111.6666667,48.08155175
111.7083333,47.71343622
111.75,69.06413705
111.7916667,103.2705649
111.8333333,102.4777007
111.875,102.5626504
111.9166667,102.7042333
111.9583333,20.50120345
112,0.962763698
112.0416667,0.962763698
112.0833333,0.962763698
112.125,0.962763698
112.1666667,0.962763698
112.2083333,0.962763698
112.25,0.962763698
112.2916667,0.962763698
112.3333333,0.962763698
112.375,6.059747982
112.4166667,42.89961773
112.4583333,43.91901458
112.5,79.48463826
112.5416667,92.82174713
112.5833333,26.10788617
112.625,92.79343055
112.6666667,93.67124451
112.7083333,102.3361178
112.75,102.3361178
112.7916667,102.1945349
112.8333333,93.69956109
112.875,95.00212374
112.9166667,96.30468639
112.9583333,1.33087923
113,0.396432111
113.0416667,0.396432111
113.0833333,0.396432111
113.125,0.396432111
113.1666667,0.396432111
113.2083333,0.396432111
113.25,0.396432111
113.2916667,0.396432111
113.3333333,0.396432111
113.375,0.396432111
113.4166667,0.396432111
113.4583333,0.396432111
113.5,0.396432111
113.5416667,0.396432111
113.5833333,0.396432111
113.625,5.606682713
113.6666667,47.62848648
113.7083333,105.1111426
113.75,108.8772476
113.7916667,108.9621974
113.8333333,115.8997593
113.875,115.8431262
113.9166667,115.2767946
113.9583333,47.99660201
114,7.588843268
114.0416667,0.396432111
114.0833333,0.396432111
114.125,0.396432111
114.1666667,0.396432111
114.2083333,0.396432111
114.25,0.396432111
114.2916667,0.396432111
