FRICT,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,
LAYERH,,BR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BR2,,,,,,,,,,BR3,,,,,,,,,,,,,BR4,,,,,,,,,,,,,,,,,,,,BR5,,,,,,,,,K
1,0,0,0,0,0,0,0,0,0,0,0,22.01,22.36,48.06,58.45,109.09,116.5,123.38,134.63,133.42,105.48,178.68,174.31,205.39,161.48,152.3,139,144.55,186.08,167.51,138.95,205.67,177.85,262.98,217.13,255.49,285.86,394.02,335.52,312.4,324.73,354.41,581.68,288.76,248.81,298.45,279.84,277.12,262.41,514.8,386.19,421.61,660.1,688.22,565.19,484.7,411.4,402.71,555.05,833.4,414.73,451.33,773.94,596.86,600.6,920.84,967.23,1140.98,1019.22,1051.64,617.01,893.75,1273.93,1705.78,1493.38,1650.09,1650.12,2200.12,2200.11,1222.76,1595.01,1543.84,1876.49,2067.55,2086.47,1905.48,1608.51,378.82,507.54,453.09,0,0,0,19.49,62.99,91.33,108.68,101.34,107.58,143.01,0,0,0,13.06,105.56,156.41,207.8,144.01,222.32,223.61,295.77,770.09,897.8,0,0,150.95,179.28,208.09,164.01,200.92,396.84,1031.1,387.74,378.83,977.22,1168.4,1536.63,1529.29,1435.78,1375.08,1320.1,825.14,825.15,0,0,100.42,299.3,1034.94,1595.34,1398.27,1514.4,1454.09,935.07,0,
1,0,0,0,0,0,0,0,0,0,0,0,0,8.9,37.88,46.45,99.86,108.16,118.22,129.66,130.87,102.34,175.2,170.75,201.82,158.84,149.18,135.75,141.22,184.55,165.75,138,203.59,175.98,259.06,216.02,253.58,284.69,388.43,333.21,310.22,321.1,348.73,578.08,286.83,244.83,294.39,278.52,273.8,259.26,514.28,384.14,420.42,660.1,685.29,563.17,484.37,409.35,399.94,551.31,830.89,411.5,447.11,771.91,596.52,597.83,915.27,964.6,1138.49,1018.03,1049.54,612.08,889.55,1269.36,1703.44,1490.87,1650.09,1650.12,2200.12,2200.11,1218.78,1590.68,1534.27,1873.23,2023.86,2082.75,1901.13,1603.91,376.18,505.47,450.81,0,0,0,19.49,62.99,91.33,108.68,101.34,107.58,143.01,0,0,0,10.32,102.14,154.02,202.51,141.91,217.58,222.09,293.44,770.08,893.9,0,0,146.97,174.91,204.63,161.89,196.04,394.33,1027.64,385.91,371.66,971.81,1160.51,1522.26,1519.96,1424.93,1375.08,1320.09,825.14,825.14,0,0,82.95,109.82,1029.16,1591.33,1379.97,1511.28,1449.46,934.8,0,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,24.12,33.5,87.19,97.88,113.04,124.58,128.3,99.21,171.23,167,198.29,156.21,146.05,132.5,137.89,183.01,163.99,136.99,201.31,173.7,255.15,214.13,251.43,283.54,382.71,330.92,308.03,317.09,342.91,574.46,284.91,240.86,290.37,277.2,270.48,256.07,513.43,382.1,419.11,660.1,682.36,561.07,484.03,407.32,397.17,547.56,828.3,408.06,443.45,769.92,596.19,595.07,909.13,961.95,1136,1016.75,1047.22,607.15,885.19,1264.77,1701.25,1488.39,1650.08,1650.12,2200.12,2200.1,1214.79,1586.35,1525.02,1869.65,1994.08,2079.03,1896.92,1599.37,373.53,503.42,448.49,0,0,0,19.49,62.99,91.33,108.68,101.34,107.58,142.02,0,0,0,9.97,98.69,151.66,197.22,139.76,212.71,220.56,291.13,770.08,889.88,0,0,142.8,170.42,200.56,159.73,191.36,391.79,1024.16,384.09,364.93,966.56,1152.58,1507.96,1510.52,1413.75,1375.07,1320.09,825.13,825.14,0,0,66.84,102.72,1023.24,1587.28,1366.35,1508.11,1444.56,932.29,0,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.48,86.54,107.82,119.45,125.75,96.06,166.96,163.22,194.76,153.58,142.86,129.2,134.55,181.46,162.23,135.96,198.63,170.13,251.23,211.68,249.23,282.37,376.82,328.64,305.57,313.05,337.16,570.83,283.02,236.92,286.37,275.87,267.15,252.87,512.38,380.05,417.8,660.09,679.38,558.47,483.7,405.27,394.38,543.86,825.69,403.73,439.97,768.01,595.85,592.35,902.5,959.31,1133.56,1015.12,1044.81,602.02,880.4,1260.19,1699.07,1485.89,1650.08,1650.11,2200.11,2200.1,1210.81,1582.05,1516.01,1865.93,1982.96,2075.3,1892.89,1594.88,370.87,501.36,446.16,0,0,0,0,62.99,91.33,108.68,101.34,107.58,137.18,0,0,0,0,95.15,149.29,192.13,137.59,207.86,219.04,288.81,770.07,885.84,0,0,138.58,165.75,196.52,157.6,186.69,389.22,1020.76,382.27,358.71,961.4,1144.58,1450.02,1500.9,1402.79,1375.07,1320.08,825.13,825.14,0,0,42.1,102.23,1017.24,1583.2,1355.89,1504.8,1439.33,926.24,0,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.7,102.58,114.26,123.18,92.92,162.44,159.43,191.18,150.94,139.63,125.86,131.21,179.89,160.47,134.85,195.86,166.55,247.28,209.19,247.01,281.2,370.8,326.36,302.38,309,331.51,567.17,280.37,233.01,282.5,274.54,263.8,249.62,511.25,378,416.48,660.09,676.36,555.13,483.37,403.24,391.6,540.27,823.02,399.17,436.23,766.12,595.51,589.67,896.94,956.65,1131.15,1013.19,1042.31,596.43,875.15,1255.62,1696.88,1483.42,1650.07,1650.11,2200.11,2200.09,1206.84,1577.76,1507.2,1861.84,1972.37,2071.53,1889.04,1590.42,368.19,499.3,443.78,0,0,0,0,62.99,91.33,108.68,101.34,107.58,132.15,0,0,0,0,91.48,146.92,187.2,135.44,202.93,217.53,286.37,770.07,881.76,0,0,134.13,160.71,192.45,155.49,182.03,386.62,1017.45,380.46,352.67,956.51,1136.56,1366.89,1491.01,1391.78,1375.06,1320.08,825.13,825.14,0,0,0,102.03,1010.13,1579,1346.49,1501.46,1434.05,919.62,0,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.29,97.31,109.02,120.47,89.75,157.42,155.64,187.56,148.31,136.37,122.47,127.88,178.34,158.71,133.67,193.05,162.99,243.16,206.35,244.76,280.04,364.69,324.08,298.86,304.94,326.01,563.51,276.53,229.14,278.74,273.21,260.44,246.26,509.78,375.95,415.17,660.08,673.17,550.43,483.04,401.2,388.65,536.73,820.3,394.63,431.99,764.2,595.17,586.99,893.6,953.99,1128.75,1011.25,1039.49,590.03,869.32,1251.04,1694.85,1480.95,1650.07,1650.11,2200.11,2200.07,1202.88,1573.44,1498.52,1857.55,1962.35,2067.6,1885.32,1586.01,365.49,497.24,441.35,0,0,0,0,45.3,65.67,108.68,101.34,107.58,127.19,0,0,0,0,87.71,144.49,182.39,133.3,197.75,216,283.89,770.06,877.16,0,0,128.7,154.43,188.29,153.38,177.39,383.98,1014.35,378.65,346.65,951.68,1128.41,1356.97,1480.74,1380.07,1375.06,1320.07,825.13,825.13,0,0,0,101.23,1002.19,1574.33,1337.51,1496.84,1428.96,910.36,0,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.19,92,103.73,117.22,86.59,151.82,151.86,183.91,145.67,133.06,119,124.53,176.79,156.95,132.42,190.19,159.41,238.94,203.47,242.48,278.88,358.5,321.83,295.34,300.87,320.63,559.81,272.62,225.29,275,271.88,257.06,242.83,508.32,373.8,413.85,660.08,669.12,545.75,482.66,399.17,385.64,533.23,817.54,390.08,427.7,762.29,594.83,584.31,890.46,951.31,1126.4,1009.33,1036.15,582.27,862.62,1246.6,1692.94,1478.48,1650.06,1650.1,2200.1,2198.67,1198.93,1568.94,1489.96,1853.03,1953.02,2063.41,1881.72,1581.6,362.76,495.2,438.88,0,0,0,0,27.6,65.67,108.68,101.34,107.58,122.42,0,0,0,0,83.92,141.93,177.71,131.16,192.47,214.47,281.41,770.06,872.44,0,0,122.77,148.09,184.1,151.27,172.77,381.3,1011.27,376.85,340.66,946.86,1120.06,1347.06,1470.02,1367.23,1374.19,1320.07,825.12,825.13,0,0,0,100.41,994.02,1569.61,1328.75,1487.84,1424.3,895.4,0,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.27,86.65,98.38,113.87,83.41,145.71,148.07,180.21,143.04,129.65,115.41,121.19,175.22,155.19,131.03,187.3,155.84,234.71,199.67,240.14,277.71,352.21,319.57,291.81,296.89,315.36,556.12,268.82,221.49,271.27,270.55,253.68,239.38,506.87,371.45,412.54,660.07,663.82,540.95,482.13,397.13,382.59,529.79,814.7,385.55,423.45,760.35,594.48,581.65,887.43,948.63,1124.07,1007.42,1030.9,571.91,855.13,1242.35,1691.05,1475.97,1650.06,1650.1,2200.1,2190.49,1195.05,1564.24,1481.48,1848.4,1944.22,2058.79,1878.21,1577.13,360.01,493.15,436.38,0,0,0,0,9.91,65.67,108.68,101.34,107.58,117.71,0,0,0,0,80.08,138.69,173.11,129.04,187.23,212.95,278.89,770.04,867.66,0,0,117.32,141.72,179.87,148.79,168.15,378.6,1008.14,375.06,334.7,942.07,1111.03,1337.16,1458.97,1352.57,1371.57,1320.06,825.12,825.13,0,0,0,99.6,986.06,1564.81,1320.07,1475.06,1419.99,883.3,0,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.33,81,92.98,110.45,80.23,139.46,144.28,176.53,140.4,126.12,111.78,117.84,173.61,153.43,129.54,184.28,152.27,230.47,195.45,237.77,276.54,345.82,317.33,288.29,292.96,310.2,552.39,265.09,217.69,267.53,269.2,250.28,235.96,505.41,369.05,411.22,660.07,635.7,535.87,481.53,395.1,379.53,526.44,811.81,381.04,419.2,758.42,594.13,576.65,884.47,945.95,1121.76,1005.52,1024.23,553.36,847.87,1238.34,1689.17,1473.44,1650.04,1650.1,2200.1,2182.35,1191.18,1559.22,1473.1,1216.3,1935.09,2053.68,1874.7,1572.58,357.25,491.11,433.86,0,0,0,0,0,65.67,108.68,101.34,107.58,113.04,0,0,0,0,76.2,134.86,168.58,126.93,182.03,211.42,276.31,770.04,862.82,0,0,112.19,135.32,175.62,145.41,163.55,375.86,1004.95,373.27,328.79,937.3,1102,1327.26,1447.58,1333.49,1368.83,1320.06,825.12,825.13,0,0,0,98.85,978.57,1559.93,1311.39,1462.36,1415.96,872.56,0,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.67,79.56,96.56,70.04,120.99,127.72,157.09,125.25,111.34,98.26,104.09,156.32,137.88,116.36,164.57,135.18,205.62,173.81,213.97,250.34,308.48,286.45,258.87,262.76,277.39,498.76,237.66,194.48,239.82,243.51,223.68,211.42,458.14,333.32,372.65,600.06,542.19,483.05,437.2,357.33,341.93,475.56,735.34,342.3,377.25,687.69,539.7,519.25,801.56,857.49,1017.72,912.38,924.78,484.92,764.02,1122.31,1533.91,1337.19,1500.04,1500.08,2000.08,1976.68,1079.59,1412.59,1331.61,1051.15,1751.03,1861.87,1701.08,1425.38,322.21,444.61,392.12,0,0,0,0,0,40.02,108.68,101.34,107.58,98.53,0,0,0,0,65.7,119.12,149.18,113.41,160.78,190.81,248.83,700.03,779.95,0,0,97.27,117.17,155.74,129.03,144.51,339.16,883.97,337.72,293.91,847.76,993.61,1197.63,1303.24,1117.7,1241.91,1200.04,750.1,750.11,0,0,0,89.22,883.25,1413.64,1184.06,1318.9,1283.69,784.28,0,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.6,74.54,90.65,67.07,115.07,124.27,153.61,122.85,107.93,94.85,101.05,154.77,136.27,114.97,161.47,131.93,201.51,169.96,211.77,249.27,302.48,284.42,255.66,259.14,272.85,495.25,234.38,191.08,236.41,242.29,219.46,208.36,456.82,331.11,362.59,600.05,533.58,479.41,436.65,355.48,338.6,472.55,732.57,338.27,373.42,685.9,539.22,514.48,799.28,855.01,1015.66,910.65,918.55,469.76,757.1,1118.96,1532.25,1334.89,1500.04,1500.08,2000.08,1970.06,1076.31,1407.62,1324.16,1043.76,1743.1,1856.68,1697.88,1420.83,319.63,442.76,389.8,0,0,0,0,0,14.37,75.68,101.34,107.58,94.33,0,0,0,0,62.07,115.63,145.15,111.4,156.12,189.42,246.35,700.03,775.36,0,0,92.42,111.3,151.8,125.94,140.34,336.6,577.25,336.1,289.41,843.46,985.38,1188.78,1285.08,1039.78,1239.42,1200.04,750.1,750.11,0,0,0,88.6,877.13,1409.06,1175.82,1309.07,1280.22,777.61,0,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.33,69.46,84.44,63.69,109.02,120.83,149.91,120.45,104.43,91.39,98.01,153.19,134.26,113.57,158.3,128.62,197.3,166.11,209.55,248.21,296.39,282.4,252.45,255.28,268.39,491.57,231.13,187.67,233.01,241.07,215.45,205.35,455.5,328.7,339.47,600.05,524.46,476.11,436.1,353.63,335.19,469.52,729.72,334.5,369.62,684.1,538.73,509.72,797.03,852.52,1013.63,908.91,912.4,452.59,751.25,1115.73,1530.6,1332.58,1500.03,1500.08,2000.08,1964.58,1073.03,1402.63,1316.78,1036.02,1735.15,1851.48,1694.68,1416.14,317.04,440.91,387.46,0,0,0,0,0,0,59.18,101.34,107.58,90.15,0,0,0,0,58.38,112.15,141.14,109.39,151.48,188.02,243.8,700.02,770.68,0,0,87.4,105.39,147.73,122.85,136.18,334.09,571.74,334.49,285.07,839.16,976.92,1180.09,1264.52,1029.39,1236.94,1200.04,750.1,750.11,0,0,0,88,871.24,1404.32,1167.07,1299.66,1276.81,773.98,0,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.11,64.18,77.81,59.92,102.74,117.23,144.56,118.06,100.86,87.83,94.97,151.55,130.92,112.18,155.04,125.08,192.93,162.27,207.3,247.14,290.19,280.39,249.24,251.33,263.98,487.8,227.93,184.19,229.61,239.85,211.64,202.34,454.19,326.14,332.85,600.04,514.73,473.07,435.34,351.78,331.7,466.49,726.52,330.78,365.82,682.29,538.25,504.99,794.82,850.01,1011.63,907.18,906.27,431.94,744.95,1112.51,1528.94,1330.27,1500.03,1500.07,2000.07,1960.09,1069.75,1397.59,1309.42,1027.92,1727.19,1846.27,1691.47,1411.31,314.44,439.1,385.1,0,0,0,0,0,0,42.68,83.74,85.58,86,0,0,0,0,54.62,108.66,137.15,107.34,146.87,186.6,240.67,700.02,765.99,0,0,82.1,99.71,143.55,119.76,132.06,331.7,566.1,332.88,280.71,834.89,968.18,1171.88,1247.11,1018.51,1234.45,1197.61,750.1,750.1,0,0,0,87.43,865.54,1398.74,1091.55,1290.48,1273.45,770.48,0,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.19,70.45,55.49,95.94,112.58,138.22,115.66,97.19,84.06,91.93,149.86,127.59,110.78,151.7,121.52,188.27,158.44,205.03,246.07,283.86,278.39,246.03,247.34,259.64,483.96,224.76,180.71,226.2,238.62,207.94,199.34,452.87,323.56,326.59,600.04,506.44,470.23,433.98,349.94,328.19,463.46,722.16,327.06,362.05,680.47,537.77,500.27,792.59,847.5,1009.64,905.44,899.24,415.04,738.04,1109.29,1527.29,1327.85,1500.02,1500.07,2000.07,1955.89,1066.52,1392.53,1302.09,1019.38,1719.21,1841.07,1688.26,1406.25,311.78,437.34,382.72,0,0,0,0,0,0,26.18,66.14,74.58,81.88,0,0,0,0,50.8,105.17,133.17,104.68,142.29,185.12,236.55,699.53,761.29,0,0,76.49,94.49,139.28,116.67,128.02,325.11,560.4,331.28,276.32,830.61,958.85,1164.29,1232.89,1005.95,1231.97,1194.09,750.09,750.1,0,0,0,86.86,859.92,1390.03,1024.23,1281.51,1270.13,767.01,0,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.41,62.8,50.11,88.6,107.69,130.42,113.26,93.4,80.17,88.88,148.12,124.26,109.39,148.25,117.96,183.53,154.62,202.72,240.53,277.03,276.39,242.81,243.36,255.32,480.02,221.63,177.24,222.81,237.39,204.57,196.37,451.56,320.95,320.61,600.03,501.52,467.56,432.37,348.09,324.66,460.42,717.08,323.37,358.29,678.6,537.29,495.56,790.32,844.98,1007.66,903.72,882.55,401.81,730.36,1106.07,1525.65,1325.34,1500.02,1500.07,2000.06,1951.89,1063.32,1387.43,1294.75,1010.34,1711.21,1835.86,1685.05,1401.1,309.11,435.57,380.32,0,0,0,0,0,0,9.68,48.54,63.58,77.78,0,0,0,0,46.88,101.68,129.19,101.7,137.75,183.63,232.01,697.56,756.58,0,0,70.55,89.18,134.9,113.58,124.03,219.75,554.61,329.69,271.91,826.36,949.14,1156.76,1220.25,990.01,1229.48,1190.55,750.09,750.1,0,0,0,86.29,854.24,1350.81,1016.92,1272.91,1266.83,763.57,0,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.73,38.82,80.76,101.58,120.96,110.79,89.01,76.17,85.83,146.31,120.93,108,144.71,114.4,178.79,150.8,200.4,233.74,269.66,274.4,239.59,239.46,250.94,476.05,218.54,173.79,219.41,236.16,201.54,193.43,450.26,318.33,314.97,600.03,497.87,465.02,430.78,346.25,321.11,457.38,712.25,319.81,354.54,676.72,536.8,490.87,788.01,842.44,1005.73,901.99,833.91,374.4,721.61,1102.86,1524.01,1322.83,1500.01,1500.06,2000.06,1947.89,1060.1,1382.28,1287.3,1001.53,1703.22,1830.64,1681.84,1395.91,306.42,433.82,377.9,0,0,0,0,0,0,0,30.94,52.58,72.55,0,0,0,0,42.71,98.19,125.2,98.73,133.23,181.9,227.46,695.3,751.86,0,0,64.26,83.41,130.45,110.49,120.05,213.11,548.68,328.09,267.54,822.11,939.05,1149.24,1188.13,963.54,1227,1187.02,750.09,750.1,0,0,0,85.72,848.59,1235.37,1009.78,1264.72,1263.54,760.14,0,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.56,0,71.96,93.74,110.71,107.32,84.24,72.06,82.79,144.43,117.59,106.52,141.05,110.72,173.93,147,198.04,227.27,262.39,271.24,236.37,235.53,246.42,472.1,215.48,170.36,216.01,234.93,198.55,190.53,448.95,315.68,309.85,600.02,494.82,462.64,429.18,343.75,317.53,454.33,707.56,316.31,350.81,674.71,536.3,486.2,785.65,839.91,1003.79,900.25,775.38,352.37,711.32,1099.64,1522.37,1320.29,1500.01,1500.06,1997.54,1943.89,1056.85,1376.89,1279.77,994.49,1695.23,1825.4,1678.62,1390.64,303.69,432.07,375.46,0,0,0,0,0,0,0,13.34,41.58,66.09,0,0,0,0,38.25,94.69,121.18,95.77,128.73,178.74,222.91,693.05,747.14,0,0,57.56,77.59,125.92,107.39,116.08,207.27,542.63,326.51,263.25,817.82,928.97,1141.7,1149.7,891.3,1224.5,1183.49,750.08,750.09,0,0,0,85.15,842.95,1229.95,1002.77,1256.77,1260.19,756.74,0,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.99,0,61.42,85.62,99.96,100.99,79.22,67.81,79.74,142.47,114.2,104.54,137.27,106.63,168.37,143.2,195.66,221.23,255.23,267.32,233.15,231.55,241.74,468.18,212.46,166.95,212.67,233.69,195.56,187.67,445.4,313.02,305.04,600.02,492.41,460.35,427.58,340.49,313.92,451.27,702.76,312.89,347.09,672.65,535.54,481.54,783.25,837.39,1001.88,898.48,771.19,343.51,700.79,1096.43,1520.73,1317.72,1498.14,1500.06,1991.83,1939.88,1053.59,1371.15,1272.08,987.67,1687.34,1820.13,1675.37,1385.3,300.92,430.32,372.99,0,0,0,0,0,0,0,0,30.58,59.44,0,0,0,0,32.98,91.2,117.11,92.81,124.35,175.32,218.41,690.8,742.41,0,0,50.37,71.71,120.59,104.29,112.13,201.67,536.46,324.92,259.03,813.35,918.94,1134.11,1139.2,837.39,1221.94,1179.96,750.08,750.09,0,0,0,0,837.36,1224.33,996.25,1249.34,1256.24,753.35,0,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.24,0,45.75,77.45,89.52,93.09,73.95,63.41,76.69,140.42,110.65,101.76,133.34,102.5,162.58,139.41,193.25,215.34,247.99,263.2,229.93,227.52,236.83,463.36,209.47,163.52,209.37,232.45,192.63,184.83,433.88,310.34,300.28,600.02,490.28,458.13,425.99,337.16,310.3,448.21,697.93,309.55,343.39,670.61,534.26,476.89,780.78,834.88,1000.01,896.69,767.01,337.88,694.69,1093.21,1519.1,1315.16,1488.94,1500.05,1985.91,1935.87,1050.32,1364.86,1264.04,980.85,1679.56,1814.84,1672.08,1379.91,298.16,428.59,370.5,0,0,0,0,0,0,0,0,19.58,51.6,0,0,0,0,26.82,87.7,113.13,89.86,120.32,171.89,214.26,687.34,737.67,0,0,42.23,65.57,114.94,101.19,108.18,196.32,530.15,323.34,254.85,808.83,908.93,1125.97,1129.95,826.02,1219.38,1176.43,750.08,750.09,0,0,0,0,831.73,1218.27,990.07,1241.97,1251.45,749.99,0,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.89,79.24,83.46,68.38,58.85,73.64,138.26,107.01,98.97,129.26,98.36,156.77,135.63,190.8,209.51,240.75,258.98,226.54,223.45,231.84,457.36,206.5,160.04,206.08,231.21,189.87,182.02,425.4,307.63,295.68,600.01,488.17,456.01,424.39,333.83,306.64,445.27,693.21,306.19,339.7,668.58,532.99,472.22,778.27,832.34,998.14,894.9,762.83,333.15,689.05,1090,1517.47,1312.61,1471.5,1500.05,1979.8,1931.87,1047.05,1357.98,1254.95,974.33,1671.84,1809.55,1668.74,1374.4,295.4,426.86,367.94,0,0,0,0,0,0,0,0,14.46,43.9,0,0,0,0,19.87,84.2,109.16,86.89,116.6,168.43,210.33,677.89,732.92,0,0,32.61,59.56,109.04,98.08,104.23,191.03,523.66,321.77,250.67,804.27,898.93,1116.17,1121.4,811.5,1216.72,1172.9,750.07,750.09,0,0,0,0,826.14,1175.19,984.2,1234.67,1246.44,746.65,0,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.86,69.32,71,62.45,54.11,70.56,135.98,102.8,96.08,125,94.22,150.97,131.86,188.32,203.77,233.51,254.48,222.94,219.32,226.6,450.95,203.61,156.51,202.78,229.97,186.74,179.23,418.98,304.91,291.5,600.01,486.08,453.97,422.8,330.49,302.96,442.85,688.69,302.82,336.01,666.57,531.71,467.48,775.68,829.79,996.28,893.08,758.63,328.43,683.99,1086.79,1515.84,1310.06,1438.83,1500.05,1973.47,1927.86,1043.71,1351,1242.97,967.84,1664.16,1804.27,1665.33,1368.54,292.59,425.15,365.29,0,0,0,0,0,0,0,0,0,36.34,0,0,0,0,11.46,80.69,105.16,83.89,112.91,164.94,206.42,663.58,728.16,0,0,20.82,53.49,102.98,94.98,100.29,185.78,516.98,320.19,246.46,799.6,888.91,1104.56,1113.08,783.11,1214.04,1169.37,750.07,750.08,0,0,0,0,820.29,1028.66,978.49,1227.44,1241.33,743.32,0,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.44,58.8,58.56,56.07,49.16,67.05,133.55,97.05,92.74,120.54,90.07,145.17,128.09,185.81,198.18,226.27,249.4,219.29,215.14,220.9,444.35,200.76,152.98,199.48,228.73,183.6,176.48,413.36,302.16,287.49,595.87,484.02,451.97,421.22,327.14,299.23,440.77,684.31,299.45,332.29,664.57,530.43,462.48,756.81,827.22,994.43,891.22,754.32,323.72,678.91,1083.57,1514.21,1307.52,1398.91,1500.04,1966.89,1923.91,1040.38,1343.88,1231.7,961.49,1656.42,1798.37,1661.89,1361.79,289.79,423.3,362.62,0,0,0,0,0,0,0,0,0,28.76,0,0,0,0,0,77.18,101.06,80.86,109.24,161.45,202.54,655.93,723.4,0,0,0,47.33,96.79,91.87,96.36,180.59,510.09,318.62,242.22,794.9,878.64,1092.03,1104.58,758.86,1211.24,1165.84,750.07,750.08,0,0,0,0,812.98,1026.36,972.55,1220.29,1236.17,740.02,0,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.56,47.29,46.13,49.12,43.97,62.95,127.7,90.22,88.68,115.79,85.91,139.38,124.34,183.27,192.63,219.02,243.94,215.63,210.91,214.98,437.64,197.91,149.47,196.17,227.46,180.45,173.77,407.91,299.4,283.51,582.03,481.97,450.07,419.63,323.78,295.42,438.71,680.03,296.06,328.54,662.59,529.15,457.48,723.32,824.64,992.57,889.37,749.27,319.02,674.02,1080.32,1512.56,1304.98,1382.89,1500.04,1958.68,1920.35,1037.08,1336.71,1222.84,955.13,1648.64,1790.53,1658.38,1354.77,286.99,420.57,359.71,0,0,0,0,0,0,0,0,0,20.73,0,0,0,0,0,73.45,96.82,77.76,105.66,157.96,198.77,649.22,718.47,0,0,0,41.07,90.45,88.73,92.43,175.44,502.96,317.05,237.95,790.1,867.9,1079.28,1096.28,747.61,1208.32,1162.31,750.07,750.08,0,0,0,0,803.93,1023.64,966.52,1213.16,1230.96,736.74,0,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.69,34.7,33.72,41.41,38.49,58.71,120.01,79.71,84.54,110.63,81.64,133.59,120.5,180.69,187.12,211.77,238.37,211.97,206.62,209.05,430.94,195.05,146.01,192.86,226.13,177.3,171.11,402.53,296.61,279.59,527.14,479.92,448.19,418.04,320.39,291.57,436.67,675.77,292.68,324.76,660.61,527.87,452.59,716.64,822.05,990.72,887.48,725.35,314.33,669.61,1077.03,1510.9,1302.44,1366.06,1500.03,1845.92,1916.98,1033.78,1330.16,1215.12,948.62,1640.78,1781.65,1654.87,1347.83,284.14,416.51,356.43,0,0,0,0,0,0,0,0,0,12.79,0,0,0,0,0,68.86,92.61,74.53,102.26,154.46,195.19,643.35,713.2,0,0,0,34.71,83.89,85.2,88.54,170.33,495.6,315.48,233.7,785.02,856.59,1066.65,1088.37,737.21,1205.33,1158.78,750.06,750.08,0,0,0,0,794.62,1020.71,960.46,1205.93,1225.72,733.48,0,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.15,21,32.6,32.62,53.86,111.42,67.75,80.3,105.03,76.61,127.81,115.93,176.75,181.65,204.5,232.71,207.98,202.27,203.13,424,192.18,142.59,189.54,224.71,174.14,168.48,397.23,293.8,275.62,476.92,477.85,446.38,416.46,317,287.7,434.66,671.46,289.3,320.96,658.59,526.6,447.67,709.9,819.45,988.83,885.56,664.33,309.66,665.07,1073.69,1509.25,1299.9,1349.95,1500.03,1840.07,1913.94,1030.5,1325.04,1208.23,942.07,1632.82,1772.83,1651.34,1341.19,281.28,412.45,353.06,0,0,0,0,0,0,0,0,0,7.5,0,0,0,0,0,64.2,88.36,71.22,98.77,150.97,191.72,637.87,707.35,0,0,0,28.24,77.15,81.45,84.63,165.26,488.03,313.91,229.52,779.89,845.04,1053.93,1080.45,727.76,1202.2,1154.89,750.06,750.07,0,0,0,0,784,1017.43,954.3,1198.62,1220.44,726.76,0,
