$NML Br1 inflow year 2005 sum of NF MF Collierville PH Stanislaus PH YC 02/02/2023 ,
",,,",
Jday,Flow
38.583,24.1399
38.625,24.1399
38.667,24.1399
38.708,24.1399
38.750,24.1399
38.792,24.1399
38.833,24.1399
38.875,24.1399
38.917,24.1399
38.958,24.1399
39.000,25.4983
39.042,25.4983
39.083,25.4983
39.125,25.4983
39.167,25.4983
39.208,25.4983
39.250,25.4983
39.292,25.4983
39.333,25.4983
39.375,25.4983
39.417,25.4983
39.458,25.4983
39.500,25.4983
39.542,25.4983
39.583,25.4983
39.625,25.4983
39.667,25.4983
39.708,25.4983
39.750,25.4983
39.792,25.4983
39.833,25.4983
39.875,25.4983
39.917,25.4983
39.958,25.4983
40.000,22.8947
40.042,22.8947
40.083,22.8947
40.125,22.8947
40.167,22.8947
40.208,22.8947
40.250,22.8947
40.292,22.8947
40.333,22.8947
40.375,22.8947
40.417,22.8947
40.458,22.8947
40.500,22.8947
40.542,22.8947
40.583,22.8947
40.625,22.8947
40.667,22.8947
40.708,22.8947
40.750,22.8947
40.792,22.8947
40.833,22.8947
40.875,22.8947
40.917,22.8947
40.958,22.8947
41.000,24.1399
41.042,24.1399
41.083,24.1399
41.125,24.1399
41.167,24.1399
41.208,24.1399
41.250,24.1399
41.292,24.1399
41.333,24.1399
41.375,24.1399
41.417,24.1399
41.458,24.1399
41.500,24.1399
41.542,24.1399
41.583,24.1399
41.625,24.1399
41.667,24.1399
41.708,24.1399
41.750,24.1399
41.792,24.1399
41.833,24.1399
41.875,24.1399
41.917,24.1399
41.958,24.1399
42.000,21.2533
42.042,21.2533
42.083,21.2533
42.125,21.2533
42.167,21.2533
42.208,21.2533
42.250,21.2533
42.292,21.2533
42.333,21.2533
42.375,21.2533
42.417,21.2533
42.458,21.2533
42.500,21.2533
42.542,21.2533
42.583,21.2533
42.625,21.2533
42.667,21.2533
42.708,21.2533
42.750,21.2533
42.792,21.2533
42.833,21.2533
42.875,21.2533
42.917,21.2533
42.958,21.2533
43.000,22.2155
43.042,22.2155
43.083,22.2155
43.125,22.2155
43.167,22.2155
43.208,22.2155
43.250,22.2155
43.292,22.2155
43.333,22.2155
43.375,22.2155
43.417,22.2155
43.458,22.2155
43.500,22.2155
43.542,22.2155
43.583,22.2155
43.625,22.2155
43.667,22.2155
43.708,22.2155
43.750,22.2155
43.792,22.2155
43.833,22.2155
43.875,22.2155
43.917,22.2155
43.958,22.2155
44.000,25.4983
44.042,25.4983
44.083,25.4983
44.125,25.4983
44.167,25.4983
44.208,25.4983
44.250,25.4983
44.292,25.4983
44.333,25.4983
44.375,25.4983
44.417,25.4983
44.458,25.4983
44.500,25.4983
44.542,25.4983
44.583,25.4983
44.625,25.4983
44.667,25.4983
44.708,25.4983
44.750,25.4983
44.792,25.4983
44.833,25.4983
44.875,25.4983
44.917,25.4983
44.958,25.4983
45.000,24.1399
45.042,24.1399
45.083,24.1399
45.125,24.1399
45.167,24.1399
45.208,24.1399
45.250,24.1399
45.292,24.1399
45.333,24.1399
45.375,24.1399
45.417,24.1399
45.458,24.1399
45.500,24.1399
45.542,24.1399
45.583,24.1399
45.625,24.1399
45.667,24.1399
45.708,24.1399
45.750,24.1399
45.792,24.1399
45.833,24.1399
45.875,24.1399
45.917,24.1399
45.958,24.1399
46.000,29.0924
46.042,29.0924
46.083,29.0924
46.125,29.0924
46.167,29.0924
46.208,29.0924
46.250,29.0924
46.292,29.0924
46.333,29.0924
46.375,29.0924
46.417,29.0924
46.458,29.0924
46.500,29.0924
46.542,29.0924
46.583,29.0924
46.625,29.0924
46.667,29.0924
46.708,29.0924
46.750,29.0924
46.792,29.0924
46.833,29.0924
46.875,29.0924
46.917,29.0924
46.958,29.0924
47.000,28.2717
47.042,28.2717
47.083,28.2717
47.125,28.2717
47.167,28.2717
47.208,28.2717
47.250,28.2717
47.292,28.2717
47.333,28.2717
47.375,28.2717
47.417,28.2717
47.458,28.2717
47.500,28.2717
47.542,28.2717
47.583,28.2717
47.625,28.2717
47.667,28.2717
47.708,28.2717
47.750,28.2717
47.792,28.2717
47.833,28.2717
47.875,28.2717
47.917,28.2717
47.958,28.2717
48.000,36.0259
48.042,36.0259
48.083,36.0259
48.125,36.0259
48.167,36.0259
48.208,36.0259
48.250,36.0259
48.292,36.0259
48.333,36.0259
48.375,36.0259
48.417,36.0259
48.458,36.0259
48.500,36.0259
48.542,36.0259
48.583,36.0259
48.625,36.0259
48.667,36.0259
48.708,36.0259
48.750,36.0259
48.792,36.0259
48.833,36.0259
48.875,36.0259
48.917,36.0259
48.958,36.0259
49.000,31.3847
49.042,31.3847
49.083,31.3847
49.125,31.3847
49.167,31.3847
49.208,31.3847
49.250,31.3847
49.292,31.3847
49.333,31.3847
49.375,31.3847
49.417,31.3847
49.458,31.3847
49.500,31.3847
49.542,31.3847
49.583,31.3847
49.625,31.3847
49.667,31.3847
49.708,31.3847
49.750,31.3847
49.792,31.3847
49.833,31.3847
49.875,31.3847
49.917,31.3847
49.958,31.3847
50.000,28.3566
50.042,28.3566
50.083,28.3566
50.125,28.3566
50.167,28.3566
50.208,28.3566
50.250,28.3566
50.292,28.3566
50.333,28.3566
50.375,28.3566
50.417,28.3566
50.458,28.3566
50.500,28.3566
50.542,28.3566
50.583,28.3566
50.625,28.3566
50.667,28.3566
50.708,28.3566
50.750,28.3566
50.792,28.3566
50.833,28.3566
50.875,28.3566
50.917,28.3566
50.958,28.3566
51.000,29.4886
51.042,29.4886
51.083,29.4886
51.125,29.4886
51.167,29.4886
51.208,29.4886
51.250,29.4886
51.292,29.4886
51.333,29.4886
51.375,29.4886
51.417,29.4886
51.458,29.4886
51.500,29.4886
51.542,29.4886
51.583,29.4886
51.625,29.4886
51.667,29.4886
51.708,29.4886
51.750,29.4886
51.792,29.4886
51.833,29.4886
51.875,29.4886
51.917,29.4886
51.958,29.4886
52.000,31.3564
52.042,31.3564
52.083,31.3564
52.125,31.3564
52.167,31.3564
52.208,31.3564
52.250,31.3564
52.292,31.3564
52.333,31.3564
52.375,31.3564
52.417,31.3564
52.458,31.3564
52.500,31.3564
52.542,31.3564
52.583,31.3564
52.625,31.3564
52.667,31.3564
52.708,31.3564
52.750,31.3564
52.792,31.3564
52.833,31.3564
52.875,31.3564
52.917,31.3564
52.958,31.3564
53.000,31.5545
53.042,31.5545
53.083,31.5545
53.125,31.5545
53.167,31.5545
53.208,31.5545
53.250,31.5545
53.292,31.5545
53.333,31.5545
53.375,31.5545
53.417,31.5545
53.458,31.5545
53.500,31.5545
53.542,31.5545
53.583,31.5545
53.625,31.5545
53.667,31.5545
53.708,31.5545
53.750,31.5545
53.792,31.5545
53.833,31.5545
53.875,31.5545
53.917,31.5545
53.958,31.5545
54.000,31.2432
54.042,31.2432
54.083,31.2432
54.125,31.2432
54.167,31.2432
54.208,31.2432
54.250,31.2432
54.292,31.2432
54.333,31.2432
54.375,31.2432
54.417,31.2432
54.458,31.2432
54.500,31.2432
54.542,31.2432
54.583,31.2432
54.625,31.2432
54.667,31.2432
54.708,31.2432
54.750,31.2432
54.792,31.2432
54.833,31.2432
54.875,31.2432
54.917,31.2432
54.958,31.2432
55.000,31.0451
55.042,31.0451
55.083,31.0451
55.125,31.0451
55.167,31.0451
55.208,31.0451
55.250,31.0451
55.292,31.0451
55.333,31.0451
55.375,31.0451
55.417,31.0451
55.458,31.0451
55.500,31.0451
55.542,31.0451
55.583,31.0451
55.625,31.0451
55.667,31.0451
55.708,31.0451
55.750,31.0451
55.792,31.0451
55.833,31.0451
55.875,31.0451
55.917,31.0451
55.958,31.0451
56.000,31.5262
56.042,31.5262
56.083,31.5262
56.125,31.5262
56.167,31.5262
56.208,31.5262
56.250,31.5262
56.292,31.5262
56.333,31.5262
56.375,31.5262
56.417,31.5262
56.458,31.5262
56.500,31.5262
56.542,31.5262
56.583,31.5262
56.625,31.5262
56.667,31.5262
56.708,31.5262
56.750,31.5262
56.792,31.5262
56.833,31.5262
56.875,31.5262
56.917,31.5262
56.958,31.5262
57.000,28.1585
57.042,28.1585
57.083,28.1585
57.125,28.1585
57.167,28.1585
57.208,28.1585
57.250,28.1585
57.292,28.1585
57.333,28.1585
57.375,28.1585
57.417,28.1585
57.458,28.1585
57.500,28.1585
57.542,28.1585
57.583,28.1585
57.625,28.1585
57.667,28.1585
57.708,28.1585
57.750,28.1585
57.792,28.1585
57.833,28.1585
57.875,28.1585
57.917,28.1585
57.958,28.1585
58.000,33.4789
58.042,33.4789
58.083,33.4789
58.125,33.4789
58.167,33.4789
58.208,33.4789
58.250,33.4789
58.292,33.4789
58.333,33.4789
58.375,33.4789
58.417,33.4789
58.458,33.4789
58.500,33.4789
58.542,33.4789
58.583,33.4789
58.625,33.4789
58.667,33.4789
58.708,33.4789
58.750,33.4789
58.792,33.4789
58.833,33.4789
58.875,33.4789
58.917,33.4789
58.958,33.4789
59.000,31.3281
59.042,31.3281
59.083,31.3281
59.125,31.3281
59.167,31.3281
59.208,31.3281
59.250,31.3281
59.292,31.3281
59.333,31.3281
59.375,31.3281
59.417,31.3281
59.458,31.3281
59.500,31.3281
59.542,31.3281
59.583,31.3281
59.625,31.3281
59.667,31.3281
59.708,31.3281
59.750,31.3281
59.792,31.3281
59.833,31.3281
59.875,31.3281
59.917,31.3281
59.958,31.3281
60.000,43.0726
60.042,43.0726
60.083,43.0726
60.125,43.0726
60.167,43.0726
60.208,43.0726
60.250,43.0726
60.292,43.0726
60.333,43.0726
60.375,43.0726
60.417,43.0726
60.458,43.0726
60.500,43.0726
60.542,43.0726
60.583,43.0726
60.625,43.0726
60.667,43.0726
60.708,43.0726
60.750,43.0726
60.792,43.0726
60.833,43.0726
60.875,43.0726
60.917,43.0726
60.958,43.0726
61.000,36.5919
61.042,36.5919
61.083,36.5919
61.125,36.5919
61.167,36.5919
61.208,36.5919
61.250,36.5919
61.292,36.5919
61.333,36.5919
61.375,36.5919
61.417,36.5919
61.458,36.5919
61.500,36.5919
61.542,36.5919
61.583,36.5919
61.625,36.5919
61.667,36.5919
61.708,36.5919
61.750,36.5919
61.792,36.5919
61.833,36.5919
61.875,36.5919
61.917,36.5919
61.958,36.5919
62.000,34.8373
62.042,34.8373
62.083,34.8373
62.125,34.8373
62.167,34.8373
62.208,34.8373
62.250,34.8373
62.292,34.8373
62.333,34.8373
62.375,34.8373
62.417,34.8373
62.458,34.8373
62.500,34.8373
62.542,34.8373
62.583,34.8373
62.625,34.8373
62.667,34.8373
62.708,34.8373
62.750,34.8373
62.792,34.8373
62.833,34.8373
62.875,34.8373
62.917,34.8373
62.958,34.8373
63.000,33.6487
63.042,33.6487
63.083,33.6487
63.125,33.6487
63.167,33.6487
63.208,33.6487
63.250,33.6487
63.292,33.6487
63.333,33.6487
63.375,33.6487
63.417,33.6487
63.458,33.6487
63.500,33.6487
63.542,33.6487
63.583,33.6487
63.625,33.6487
63.667,33.6487
63.708,33.6487
63.750,33.6487
63.792,33.6487
63.833,33.6487
63.875,33.6487
63.917,33.6487
63.958,33.6487
64.000,36.7334
64.042,36.7334
64.083,36.7334
64.125,36.7334
64.167,36.7334
64.208,36.7334
64.250,36.7334
64.292,36.7334
64.333,36.7334
64.375,36.7334
64.417,36.7334
64.458,36.7334
64.500,36.7334
64.542,36.7334
64.583,36.7334
64.625,36.7334
64.667,36.7334
64.708,36.7334
64.750,36.7334
64.792,36.7334
64.833,36.7334
64.875,36.7334
64.917,36.7334
64.958,36.7334
65.000,34.6675
65.042,34.6675
65.083,34.6675
65.125,34.6675
65.167,34.6675
65.208,34.6675
65.250,34.6675
65.292,34.6675
65.333,34.6675
