$Br1 inflow Tw year 2005 YC 03/22/2023,
",,,",
Jday,Tw
125.4166667,8.504941563
125.4583333,8.4135307
125.5,8.4135307
125.5416667,8.322119838
125.5833333,8.322119838
125.625,8.322119838
125.6666667,8.322119838
125.7083333,8.322119838
125.75,8.261179263
125.7916667,8.261179263
125.8333333,8.169768401
125.875,8.169768401
125.9166667,8.169768401
125.9583333,8.341163768
126,8.210412742
126.0416667,8.210412742
126.0833333,8.210412742
126.125,8.210412742
126.1666667,8.210412742
126.2083333,8.1182788
126.25,8.1182788
126.2916667,8.1182788
126.3333333,8.056856172
126.375,8.056856172
126.4166667,8.021666125
126.4583333,7.964722229
126.5,7.964722229
126.5416667,7.872588287
126.5833333,7.872588287
126.625,7.872588287
126.6666667,7.872588287
126.7083333,7.872588287
126.75,7.872588287
126.7916667,7.872588287
126.8333333,7.872588287
126.875,7.964722229
126.9166667,8.056856172
126.9583333,8.021666125
127,8.237049344
127.0416667,8.296530819
127.0833333,8.296530819
127.125,8.296530819
127.1666667,8.296530819
127.2083333,8.296530819
127.25,8.296530819
127.2916667,8.296530819
127.3333333,8.296530819
127.375,8.564197457
127.4166667,8.289095635
127.4583333,8.296530819
127.5,8.296530819
127.5416667,8.296530819
127.5833333,8.237049344
127.625,8.237049344
127.6666667,8.237049344
127.7083333,8.147827131
127.75,8.237049344
127.7916667,8.237049344
127.8333333,8.237049344
127.875,8.237049344
127.9166667,8.296530819
127.9583333,8.289095635
128,8.292722283
128.0416667,8.388880903
128.0833333,8.388880903
128.125,8.485039523
128.1666667,8.485039523
128.2083333,8.485039523
128.25,8.549145269
128.2916667,8.549145269
128.3333333,8.549145269
128.375,8.645303889
128.4166667,8.551816341
128.4583333,8.645303889
128.5,8.645303889
128.5416667,8.645303889
128.5833333,8.645303889
128.625,8.645303889
128.6666667,8.645303889
128.7083333,8.645303889
128.75,8.549145269
128.7916667,8.549145269
128.8333333,8.549145269
128.875,8.549145269
128.9166667,8.549145269
128.9583333,8.551816341
129,10.25648639
129.0416667,10.25648639
129.0833333,10.25648639
129.125,10.25648639
129.1666667,10.25648639
129.2083333,10.25648639
129.25,10.25648639
129.2916667,10.25648639
129.3333333,10.19493832
129.375,10.19493832
129.4166667,10.19493832
129.4583333,10.07184218
129.5,9.969262055
129.5416667,9.907713982
129.5833333,9.84616591
129.625,9.784617837
129.6666667,9.983366822
129.7083333,9.682037716
129.75,9.682037716
129.7916667,9.682037716
129.8333333,9.620489643
129.875,9.620489643
129.9166667,9.682037716
129.9583333,9.682037716
130,8.17713089
130.0416667,8.17713089
130.0833333,8.17713089
130.125,8.063350413
130.1666667,8.17713089
130.2083333,8.093108383
130.25,8.093108383
130.2916667,8.093108383
130.3333333,8.093108383
130.375,8.093108383
130.4166667,8.093108383
130.4583333,8.009085877
130.5,8.009085877
130.5416667,8.009085877
130.5833333,7.925063371
130.625,8.009085877
130.6666667,8.063350413
130.7083333,7.925063371
130.75,7.925063371
130.7916667,7.925063371
130.8333333,8.009085877
130.875,8.093108383
130.9166667,8.093108383
130.9583333,8.17713089
131,8.60381137
131.0416667,8.525174018
131.0833333,8.525174018
131.125,8.86320541
131.1666667,8.682448721
131.2083333,8.682448721
131.25,8.734873622
131.2916667,8.813510974
131.3333333,8.813510974
131.375,8.892148325
131.4166667,8.892148325
131.4583333,8.892148325
131.5,8.892148325
131.5416667,8.892148325
131.5833333,8.892148325
131.625,8.892148325
131.6666667,8.86320541
131.7083333,8.970785677
131.75,8.970785677
131.7916667,9.049423028
131.8333333,9.101847929
131.875,9.101847929
131.9166667,9.180485281
131.9583333,9.180485281
132,10.23078182
132.0416667,10.29367373
132.0833333,10.35656564
132.125,10.39762008
132.1666667,10.39849358
132.2083333,10.39849358
132.25,10.39849358
132.2916667,10.39849358
132.3333333,10.46138549
132.375,10.46138549
132.4166667,10.39849358
132.4583333,10.39849358
132.5,10.35656564
132.5416667,10.35656564
132.5833333,10.35656564
132.625,10.35656564
132.6666667,10.39762008
132.7083333,10.39849358
132.75,10.39849358
132.7916667,10.39849358
132.8333333,10.39849358
132.875,10.46138549
132.9166667,10.5242774
132.9583333,10.58716931
133,10.14609488
133.0416667,10.1963232
133.0833333,10.27166569
133.125,10.34700817
133.1666667,10.42235066
133.2083333,10.42235066
133.25,10.49769314
133.2916667,10.49769314
133.3333333,10.49769314
133.375,10.37473839
133.4166667,10.49769314
133.4583333,10.42235066
133.5,10.42235066
133.5416667,10.42235066
133.5833333,10.34700817
133.625,10.34700817
133.6666667,10.34700817
133.7083333,10.27166569
133.75,10.27166569
133.7916667,10.27166569
133.8333333,10.37473839
133.875,10.34700817
133.9166667,10.42235066
133.9583333,10.49769314
134,10.63305356
134.0416667,10.70921926
134.0833333,10.78538496
134.125,10.86155065
134.1666667,10.86155065
134.2083333,10.86155065
134.25,10.86155065
134.2916667,10.86155065
134.3333333,10.86155065
134.375,10.63358249
134.4166667,10.70921926
134.4583333,10.63305356
134.5,10.63305356
134.5416667,10.58227643
134.5833333,10.50611074
134.625,10.50611074
134.6666667,10.42994504
134.7083333,10.42994504
134.75,10.42994504
134.7916667,10.35377935
134.8333333,10.63358249
134.875,10.42994504
134.9166667,10.50611074
134.9583333,10.58227643
135,11.14950068
135.0416667,11.14950068
135.0833333,11.21969539
135.125,11.21969539
135.1666667,11.2898901
135.2083333,11.2898901
135.25,11.2898901
