$NML Br1 inflow Tw year 2005 gap filled with dly averaged filled Tw YC 02/02/2023,
",,,",
Jday,Tw (deg C)
18.583,4.937074248
18.625,4.94729021
18.667,4.956867675
18.708,5.02988176
18.750,5.040097722
18.792,5.049675187
18.833,5.128341854
18.875,5.128341854
18.917,5.137919318
18.958,5.137919318
19.000,5.276701953
19.042,5.276701953
19.083,5.276701953
19.125,5.266760432
19.167,5.266760432
19.208,5.191438795
19.250,5.191438795
19.292,5.180834507
19.333,5.170892986
19.375,5.170892986
19.417,5.089674662
19.458,5.089674662
19.500,5.089674662
19.542,5.089674662
19.583,5.100278951
19.625,5.024957314
19.667,5.100278951
19.708,5.100278951
19.750,5.110220471
19.792,5.191438795
19.833,5.191438795
19.875,5.201380316
19.917,5.201380316
19.958,5.201380316
20.000,5.296886318
20.042,5.286160766
20.083,5.286160766
20.125,5.190261713
20.167,5.190261713
20.208,5.179536161
20.250,5.168095572
20.292,5.168095572
20.333,5.078190209
20.375,5.078190209
20.417,5.06674962
20.458,5.06674962
20.500,5.06674962
20.542,5.078190209
20.583,5.078190209
20.625,5.088915761
20.667,5.088915761
20.708,5.168095572
20.750,5.179536161
20.792,5.190261713
20.833,5.201702302
20.875,5.212427854
20.917,5.296886318
20.958,5.286160766
21.000,5.240923858
21.042,5.229878173
21.083,5.229878173
21.125,5.219522843
21.167,5.219522843
21.208,5.219522843
21.250,5.130670051
21.292,5.120314721
21.333,5.109269036
21.375,5.109269036
21.417,5.025279188
21.458,5.025279188
21.500,5.025279188
21.542,4.958517766
21.583,4.958517766
21.625,4.969563452
21.667,4.969563452
21.708,5.047370558
21.750,5.057725888
21.792,5.068771574
21.833,5.079126904
21.875,5.152071066
21.917,5.152071066
21.958,5.152071066
22.000,5.256903127
22.042,5.246501117
22.083,5.246501117
22.125,5.246501117
22.167,5.235405639
22.208,5.235405639
22.250,5.225003629
22.292,5.140491066
22.333,5.140491066
22.375,5.129395589
22.417,5.129395589
22.458,5.118993579
22.500,5.051084031
22.542,5.051084031
22.583,5.062179509
22.625,5.062179509
22.667,5.062179509
22.708,5.151586544
22.750,5.151586544
22.792,5.173084031
22.833,5.173084031
22.875,5.183486041
22.917,5.256903127
22.958,5.256903127
23.000,5.302849116
23.042,5.404045697
23.083,5.404045697
23.125,5.404045697
23.167,5.289564623
