$Tulloch dam release year 2005 YC 04/11/2023,,
",,,",,
Jday,spillway,low outlet
326,0.001,11.21336543
327,0.001,11.04346595
328,0.001,11.12841569
329,0.001,11.21336543
330,0.001,11.32663174
331,0.001,11.241682
332,0.001,11.18504885
333,0.001,11.12841569
334,0.001,11.12841569
335,0.001,10.76030016
336,0.001,10.61871726
337,0.001,10.67535042
338,0.001,10.61871726
339,0.001,10.84524989
340,0.001,11.10009911
341,0.001,11.12841569
342,0.001,11.26999858
343,0.001,11.29831516
344,0.001,11.29831516
345,0.001,11.18504885
346,0.001,10.78861674
347,0.001,10.67535042
348,0.001,10.47713436
349,0.001,10.53376752
350,0.001,17.81112842
351,0.001,24.40889141
352,0.001,24.35225825
353,0.001,30.15715702
354,0.001,39.98301005
355,0.001,39.69984426
356,0.001,39.16182925
357,0.001,48.33640096
358,8.608240125,60.0877814
359,14.83788758,51.25300864
360,14.07333994,51.70607391
361,30.21379017,55.6987116
362,64.56180093,61.64519326
363,72.40549342,49.3841144
364,68.97918731,51.62112417
365,73.39657369,51.25300864
366,72.83024211,52.01755628
