$Tulloch branch 1 inflow year 2006 YC 04/11/2023,
",,,",
Jday,Inflow
116.9583333,238.2556987
117,236.8965029
117.0416667,182.0189721
117.0833333,152.8245788
117.125,152.0317146
117.1666667,152.3998301
117.2083333,152.7962622
117.25,151.8618151
117.2916667,150.9556846
117.3333333,151.4936996
117.375,151.9184483
117.4166667,152.3431969
117.4583333,152.3431969
117.5,152.3998301
117.5416667,152.4564633
117.5833333,151.0406343
117.625,150.927368
117.6666667,150.8990514
117.7083333,152.6546793
117.75,151.7768654
117.7916667,152.003398
117.8333333,152.2865638
117.875,152.0600311
117.9166667,152.3715135
117.9583333,152.2865638
118,152.4281467
118.0416667,152.1732975
118.0833333,152.1166643
118.125,152.1732975
118.1666667,152.3998301
118.2083333,152.3148804
118.25,152.2582472
118.2916667,152.2582472
118.3333333,152.3998301
118.375,150.8990514
118.4166667,150.0212374
118.4583333,150.3327198
118.5,150.2477701
118.5416667,150.2760866
118.5833333,150.1911369
118.625,154.9766388
118.6666667,160.4700552
118.7083333,158.601161
118.75,164.2361603
118.7916667,268.8092878
118.8333333,273.7646892
118.875,273.6231063
118.9166667,255.3022795
118.9583333,239.0485629
119,234.4612771
119.0416667,127.2830242
119.0833333,121.1100099
119.125,121.1666431
119.1666667,120.8551607
119.2083333,120.6003115
119.25,120.7985275
119.2916667,120.5153617
119.3333333,120.7135778
119.375,128.444004
119.4166667,197.84794
119.4583333,200.9910803
119.5,200.7928642
119.5416667,200.9910803
119.5833333,200.4247487
119.625,200.7928642
119.6666667,201.1043466
119.7083333,200.9061305
119.75,201.1043466
119.7916667,201.2176129
119.8333333,201.4724621
119.875,200.7928642
119.9166667,198.1594223
119.9583333,126.2636274
120,117.0324225
120.0416667,47.85501911
120.0833333,44.88177828
120.125,47.88333569
120.1666667,105.620841
120.2083333,108.7922979
120.25,108.3392326
120.2916667,118.5048846
120.3333333,228.3448959
120.375,236.4151211
120.4166667,238.9636132
120.4583333,239.1335127
120.5,238.90698
120.5416667,238.8220303
120.5833333,239.1051961
120.625,238.9352966
120.6666667,239.6998443
120.7083333,239.6715277
120.75,239.7564774
120.7916667,239.8131106
120.8333333,239.246779
120.875,239.4166785
120.9166667,234.263061
120.9583333,119.6375478
121,15.31926943
121.0416667,43.29604984
121.0833333,43.86238142
121.125,44.11723064
121.1666667,44.88177828
121.2083333,46.94888857
121.25,84.69488886
121.2916667,114.5971967
121.3333333,124.8477984
121.375,233.9798952
121.4166667,238.8786635
121.4583333,239.1901458
121.5,238.9636132
121.5416667,239.1901458
121.5833333,239.1335127
121.625,239.0202464
121.6666667,239.4733116
121.7083333,236.1602718
121.75,226.391052
121.7916667,226.5326349
121.8333333,226.6175846
121.875,226.2494691
121.9166667,226.5043183
121.9583333,222.9647459
122,122.3276228
122.0416667,7.588843268
122.0833333,1.189296333
122.125,1.189296333
122.1666667,1.189296333
122.2083333,1.189296333
122.25,10.5620841
122.2916667,118.3633017
122.3333333,183.9728161
122.375,186.2098259
122.4166667,186.266459
122.4583333,186.0399264
122.5,191.2218604
122.5416667,187.9937704
122.5833333,195.9790457
122.625,217.9243947
122.6666667,220.1897211
122.7083333,224.9185898
122.75,219.7649724
122.7916667,219.5384398
122.8333333,219.8499221
122.875,220.1047713
122.9166667,216.5368823
122.9583333,121.506442
123,18.80220869
123.0416667,116.4944075
123.0833333,120.4587286
123.125,120.8834773
123.1666667,120.8834773
123.2083333,120.8551607
123.25,120.4870452
123.2916667,120.9401104
123.3333333,130.0014158
123.375,222.3700977
123.4166667,221.6904998
123.4583333,220.1614045
123.5,220.3596206
123.5416667,220.1614045
123.5833333,220.3879371
123.625,220.7560527
123.6666667,220.5578366
123.7083333,220.52952
123.75,220.2746708
123.7916667,220.4162537
123.8333333,220.3029874
123.875,220.52952
123.9166667,216.0555005
123.9583333,123.0638539
124,111.5673227
124.0416667,7.617159847
124.0833333,1.274246071
124.125,1.274246071
124.1666667,1.274246071
124.2083333,1.274246071
124.25,19.96318845
124.2916667,203.1431403
124.3333333,221.7471329
124.375,221.8320827
124.4166667,219.7649724
124.4583333,219.5950729
124.5,220.7843692
124.5416667,219.3968569
124.5833333,219.4251734
124.625,219.2269574
124.6666667,219.7366558
124.7083333,220.0198216
124.75,219.2835905
124.7916667,220.8126858
124.8333333,220.2746708
124.875,220.0481382
124.9166667,219.2835905
124.9583333,210.6187173
125,202.15206
125.0416667,12.00622965
125.0833333,1.274246071
125.125,1.274246071
125.1666667,1.274246071
125.2083333,10.93019963
125.25,111.5106895
125.2916667,123.2620699
125.3333333,124.6495823
125.375,202.2086932
125.4166667,219.5950729
125.4583333,218.7455755
125.5,220.1614045
125.5416667,219.3968569
125.5833333,218.8022087
125.625,220.0481382
125.6666667,219.6800227
125.7083333,218.6606258
125.75,220.4162537
125.7916667,219.7083392
125.8333333,219.9631884
125.875,218.9437916
125.9166667,219.5384398
125.9583333,218.7738921
126,212.8274104
126.0416667,57.1994903
126.0833333,42.75803483
126.125,42.33328614
126.1666667,42.1067535
126.2083333,41.71032139
126.25,40.26617585
126.2916667,24.06909245
126.3333333,211.9495965
126.375,219.0287413
126.4166667,220.2463542
126.4583333,220.1047713
126.5,219.0287413
126.5416667,220.4445703
126.5833333,219.8499221
126.625,219.9348719
126.6666667,218.8022087
126.7083333,220.0481382
126.75,220.52952
126.7916667,219.6800227
126.8333333,219.3685403
126.875,208.3533909
126.9166667,207.2490443
126.9583333,199.660201
127,11.75138043
127.0416667,1.047713436
127.0833333,1.047713436
127.125,1.047713436
127.1666667,1.047713436
127.2083333,1.047713436
127.25,19.11369107
127.2916667,211.8646468
127.3333333,218.8588419
127.375,220.0198216
127.4166667,220.1614045
127.4583333,218.9721082
127.5,219.5101232
127.5416667,220.2180377
127.5833333,218.6889424
127.625,219.45349
127.6666667,220.4162537
127.7083333,219.3685403
127.75,219.9348719
127.7916667,219.8499221
127.8333333,219.1420076
127.875,220.3879371
127.9166667,219.5384398
127.9583333,211.5531644
128,13.42205862
128.0416667,1.274246071
128.0833333,1.274246071
128.125,1.30256265
128.1666667,1.274246071
128.2083333,1.274246071
128.25,11.26999858
128.2916667,120.3454623
128.3333333,214.7812544
128.375,219.0853745
128.4166667,219.4818066
128.4583333,220.0764548
128.5,219.5101232
128.5416667,220.3596206
128.5833333,218.5190429
128.625,219.5101232
