date, balance_flow [cfs]
58974060,-154.0,
58974120,-155.0,
58974180,-154.0,
58974240,-153.0,
58974300,-156.0,
58974360,-156.0,
58974420,-158.0,
58974480,-154.0,
58974540,-155.0,
58974600,-155.0,
58974660,-155.0,
58974720,15.0,
58974780,-137.0,
58974840,-157.0,
58974900,-157.0,
58974960,-95.0,
58975020,-123.0,
58975080,-158.0,
58975140,-158.0,
58975200,-142.600006104,
58975260,-144.600006104,
58975320,-142.600006104,
58975380,-141.600006104,
58975440,-144.600006104,
58975500,-142.600006104,
58975560,-143.600006104,
58975620,-141.600006104,
58975680,-141.600006104,
58975740,-140.600006104,
58975800,-142.600006104,
58975860,-144.600006104,
58975920,-141.600006104,
58975980,-144.600006104,
58976040,-144.600006104,
58976100,-140.600006104,
58976160,-141.600006104,
58976220,185.399993896,
58976280,3709.3999939,
58976340,3829.3999939,
58976400,3072.3999939,
58976460,35.3999938965,
58976520,-139.600006104,
58976580,-142.600006104,
58976640,-147.699996948,
58976700,-147.699996948,
58976760,-149.699996948,
58976820,-150.699996948,
58976880,-150.699996948,
58976940,-147.699996948,
58977000,-150.699996948,
58977060,-148.699996948,
58977120,-150.699996948,
58977180,-148.699996948,
58977240,-150.699996948,
58977300,-150.699996948,
58977360,-150.699996948,
58977420,-150.699996948,
58977480,-148.699996948,
58977540,-147.699996948,
58977600,-147.699996948,
58977660,-83.6999969482,
58977720,-60.6999969482,
58977780,-148.699996948,
58977840,-150.699996948,
58977900,-148.699996948,
58977960,-150.699996948,
58978020,-148.699996948,
58978080,-183.5,
58978140,-185.5,
58978200,-183.5,
58978260,-183.5,
58978320,-183.5,
58978380,-183.5,
58978440,-183.5,
58978500,-185.5,
58978560,-182.5,
58978620,-183.5,
58978680,-184.5,
58978740,-184.5,
58978800,-183.5,
58978860,-182.5,
58978920,-184.5,
58978980,-183.5,
58979040,-184.5,
58979100,-183.5,
58979160,-183.5,
58979220,-182.5,
58979280,-185.5,
58979340,-184.5,
58979400,-183.5,
58979460,-184.5,
58979520,-173.300003052,
58979580,-171.300003052,
58979640,-173.300003052,
58979700,-171.300003052,
58979760,-171.300003052,
58979820,-171.300003052,
58979880,-171.300003052,
58979940,-173.300003052,
58980000,-172.300003052,
58980060,-173.300003052,
58980120,-172.300003052,
58980180,-172.300003052,
58980240,-172.300003052,
58980300,-171.300003052,
58980360,-170.300003052,
58980420,-172.300003052,
58980480,-173.300003052,
58980540,320.699996948,
58980600,4799.69999695,
58980660,4261.69999695,
58980720,2957.69999695,
58980780,38.6999969482,
58980840,-172.300003052,
58980900,-172.300003052,
58980960,-157.100006104,
